Date,Symbol,Order,Shares
2010-01-05,ML4T-220,BUY,100.0
2010-01-25,ML4T-220,SELL,100.0
2010-02-02,ML4T-220,SELL,100.0
2010-02-17,ML4T-220,BUY,100.0
2010-02-25,ML4T-220,BUY,100.0
2010-03-09,ML4T-220,SELL,100.0
2010-03-17,ML4T-220,SELL,100.0
2010-03-31,ML4T-220,BUY,100.0
2010-04-09,ML4T-220,BUY,100.0
2010-04-20,ML4T-220,SELL,100.0
2010-04-28,ML4T-220,SELL,100.0
2010-05-12,ML4T-220,BUY,100.0
2010-05-20,ML4T-220,BUY,100.0
2010-06-02,ML4T-220,SELL,100.0
2010-06-10,ML4T-220,SELL,100.0
2010-06-24,ML4T-220,BUY,100.0
2010-07-02,ML4T-220,BUY,100.0
2010-07-15,ML4T-220,SELL,100.0
2010-07-23,ML4T-220,SELL,100.0
2010-08-06,ML4T-220,BUY,100.0
2010-08-16,ML4T-220,BUY,100.0
2010-08-26,ML4T-220,SELL,100.0
2010-09-03,ML4T-220,SELL,100.0
2010-09-20,ML4T-220,BUY,100.0
2010-09-28,ML4T-220,BUY,100.0
2010-10-08,ML4T-220,SELL,100.0
2010-10-18,ML4T-220,SELL,100.0
2010-11-01,ML4T-220,BUY,100.0
2010-11-01,ML4T-220,BUY,100.0
2010-11-18,ML4T-220,SELL,100.0
2010-11-29,ML4T-220,SELL,100.0
2010-12-13,ML4T-220,BUY,100.0
2010-12-21,ML4T-220,BUY,100.0
2011-01-03,ML4T-220,SELL,100.0
2011-01-11,ML4T-220,SELL,100.0
2011-01-26,ML4T-220,BUY,100.0
2011-02-03,ML4T-220,BUY,100.0
2011-02-15,ML4T-220,SELL,100.0
2011-02-24,ML4T-220,SELL,100.0
2011-03-10,ML4T-220,BUY,100.0
2011-03-18,ML4T-220,BUY,100.0
2011-03-30,ML4T-220,SELL,100.0
2011-04-07,ML4T-220,SELL,100.0
2011-04-21,ML4T-220,BUY,100.0
2011-05-02,ML4T-220,BUY,100.0
2011-05-12,ML4T-220,SELL,100.0
2011-05-20,ML4T-220,SELL,100.0
2011-06-06,ML4T-220,BUY,100.0
2011-06-06,ML4T-220,BUY,100.0
2011-06-23,ML4T-220,SELL,100.0
2011-07-01,ML4T-220,SELL,100.0
2011-07-18,ML4T-220,BUY,100.0
2011-07-26,ML4T-220,BUY,100.0
2011-08-05,ML4T-220,SELL,100.0
2011-08-15,ML4T-220,SELL,100.0
2011-08-29,ML4T-220,BUY,100.0
2011-09-07,ML4T-220,BUY,100.0
2011-09-19,ML4T-220,SELL,100.0
2011-09-27,ML4T-220,SELL,100.0
2011-10-11,ML4T-220,BUY,100.0
2011-10-19,ML4T-220,BUY,100.0
2011-10-31,ML4T-220,SELL,100.0
2011-11-08,ML4T-220,SELL,100.0
2011-11-22,ML4T-220,BUY,100.0
2011-12-01,ML4T-220,BUY,100.0
2011-12-13,ML4T-220,SELL,100.0
2011-12-21,ML4T-220,SELL,100.0
2011-12-30,ML4T-220,BUY,100.0
